,NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,df_index
40000,170000410043,2017,5215702,Palmeiras de Goiás,52,GO,18,F,0,1,1,5208707,Goiânia,52,GO,2,0,2,1,0,52099903,5215702,Palmeiras de Goiás,52,GO,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5221403,Trindade,52,GO,1,1,1,1,392,398,401,404,475.7,511.6,484.8,417.7,DEDBCCECEEADAAADEDCCBECBBCBAACDBDBCCCDEAADAEB,EBBBCAAAECBBBDCAAEBBBCCABCCAADAEEEADADEEADAAB,DEECC99999AEEDCEEECBEEEEEEACDDCCEEBBCCDBEBAACDCABA,DBCEDCEDDCADCCACADBDCEDBCDEBCEBDCAEBDCEABDEAE,0,BCBBEBAAEDDCBDADEEBADECDCBCDAAEABCEEAAECDCCDA,DAEBEABDBEDACDDECADBCCCAECDEECAEBDBDBBAECDAEB,DEDCDBEEDEECABAAEDDCBDEDBAEABBBDEDBBCCDAEBCAABDAED,CCECEECDADBBDBBDBAEBDDABECBDCCDEDBBACAEADAEAC,1,100,120,120,120,40,500,D,C,A,B,5,F,A,B,D,B,B,B,B,B,A,B,A,A,B,B,A,E,A,A,B,B,A,40000
41000,170000396075,2017,4110607,Iporã,41,PR,16,F,0,3,1,4110607,Iporã,41,PR,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4128104,Umuarama,41,PR,1,1,1,1,394,396,400,405,445.3,479.4,453.7,455.8,ADBCDBAAADECAEDEACBDCBCCEDCAECAAEAEABACCBBAED,CCAADABABE*DADEEECACDEABCEBEDBABAEABABBEBBDAE,BDEED99999BDAEDCDBBBAAEABDBACDAEDBDEDEDDECAEEEDBAB,ACECDABDECBADEBACAAEBADCDBACCDCAEEBCCDCAEBCDA,0,EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB,CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC,EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC,BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB,1,140,120,140,120,100,620,E,E,C,B,2,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,B,B,C,C,41000
42000,170000416306,2017,3535101,Palmares Paulista,35,SP,17,M,0,3,1,2923605,Paramirim,29,BA,2,0,2,1,0,35026724,3535101,Palmares Paulista,35,SP,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3511102,Catanduva,35,SP,1,1,1,1,394,395,399,405,512.3,433.1,455.7,564.4,ACCCAAECCCABEADCABBBBAACBCCDBABAEAABECCCDEABD,DADEEECEEBABEDAADAECACDABECDBABACEBACDABDCEBD,ACBDD99999EDEECCDBCBABBCECBEDEEBEECABBBBDEDBBEABEC,EAADDCDCECDCDCABCCBCCBADACDDDEAAADEDDDEAECBCB,0,EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB,CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE,DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB,BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB,1,100,120,120,100,60,500,B,C,B,B,4,D,A,B,D,B,A,B,A,B,A,B,A,A,B,A,A,C,A,B,B,B,A,42000
43000,170003742709,2017,4116208,Morretes,41,PR,18,M,0,3,1,4116208,Morretes,41,PR,2,0,2,1,0,41598091,4116208,Morretes,41,PR,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4118204,Paranaguá,41,PR,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,H,C,C,B,5,F,A,B,E,A,B,B,B,B,B,B,A,A,C,B,B,E,A,B,A,B,A,43000
44000,170003734269,2017,2412005,São Gonçalo do Amarante,24,RN,15,F,0,1,1,2408102,Natal,24,RN,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2412005,São Gonçalo do Amarante,24,RN,1,1,1,1,394,397,402,405,453,499.6,535.1,551.7,DEADBECBCAACDEABBCBCDDBAEBDACEBEDBBCADBEEAABC,DBCECADADBAEBDACADBCAABECCADCBAEDBCADCEBADCBA,99999CDBAEBEEADECDADCDBACEBDEBADAAEABDCDACDDABCDAE,DDEDBADCEDEADCCEBCBDBBCAACECABDCBCADEDEABCEDB,1,EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB,ECAEBCDDECADBEABDDBDBDAEBCCCCDEAEDAEBBEDABAEC,DDCDEEDBEECEBADEDEABEDBBBDBCCABAAAABCBDAEDEDDBCDAE,BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB,1,120,120,80,120,20,460,F,E,D,F,3,F,A,D,D,B,A,B,A,A,A,A,A,A,B,A,A,D,B,B,B,C,A,44000
45000,170005451686,2017,2503209,Cabedelo,25,PB,17,F,0,2,1,2507507,João Pessoa,25,PB,2,0,2,1,0,25092839,2507507,João Pessoa,25,PB,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2503209,Cabedelo,25,PB,1,1,1,1,391,395,399,403,481.7,456.2,442.8,521.5,BDEDAACCBDEAACBBBBDECCCCBCCDEADBCCCAACADCCEDC,BDDEACACCDDCCECEEEDDABEABCEDEABEBABBDDCDCBDCA,BCEEE99999BBDAADEEDDCBBDAABADCDBDCCABEBDEEEBADBCED,CABBAAECAEABBBDADCABEACBAAACCBBECACDCDAACAEAA,0,DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE,CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE,DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB,ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD,1,100,120,80,60,80,440,E,E,C,D,4,G,A,B,D,A,B,B,A,A,A,A,A,A,B,B,A,D,A,B,B,B,B,45000
46000,170005433368,2017,3205002,Serra,32,ES,22,M,0,3,1,3105103,Bambuí,31,MG,1,1,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3205002,Serra,32,ES,1,1,1,1,391,396,400,403,577.5,523.4,552.6,471.5,CACBCEBABBEEBEDCDEADBDEAEADADDCBADEDABBDBEBAB,DBBBEABACDEBEACAECDEBBACEDBCDBAADEAEABBCDDEAB,EBDED99999CBEBDAEABADAEBADEEADEDDDDABCADECADEADCCE,CBCAECCCDBECACBDCEABDBEDCCDBEAABADCDCAEDACCBB,0,DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE,CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC,EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC,ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD,1,120,120,120,120,80,560,E,E,A,D,1,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,46000
47000,170003737221,2017,3304904,São Gonçalo,33,RJ,44,M,2,3,1,3304904,São Gonçalo,33,RJ,1,4,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3304904,São Gonçalo,33,RJ,1,1,1,1,393,396,400,406,539,370.9,429.8,519.3,DCADAEBEACDEEBBEBEEDCBADDBADDBBBCAEACDEBECDBC,DECCBDCDCECCCBDACBDCCCABDCDEACDDAEADCBDEABDAA,99999ACBBDCDBBDCEEADDEAABBDABECBBACCDBAAEDCCBCBBEA,CDC.AEACBCDBCBDBADBCDBCDEAECCCCDADCECDDDBACBC,1,CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA,CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC,EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC,EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC,1,100,120,80,80,60,440,C,C,F,F,2,C,A,B,B,B,A,B,B,B,B,B,A,B,B,B,A,C,B,B,B,A,D,47000
48000,170005450017,2017,3525300,Jaú,35,SP,17,F,0,1,1,3525300,Jaú,35,SP,2,0,2,1,0,35025641,3525300,Jaú,35,SP,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3525300,Jaú,35,SP,1,1,1,1,391,398,401,403,532.4,548.3,507.4,526.9,CDEBAABDCEDCCDEBBEDDEEACACECECBCDACDACBDAEDDD,ABCADDAEBABACDAACBBEAECDEAABACBECEBCBCACAABDE,BBBBC99999EABBCEDDDEBEEBEAEDDBBDCDBBDCEADBBABABBCB,EBBBECACABBCDCAEEBABAEABBEAABDDBABBBBCBBCAEEB,0,DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE,DAEBEABDBEDACDDECADBCCCAECDEECAEBDBDBBAECDAEB,DEDCDBEEDEECABAAEDDCBDEDBAEABBBDEDBBCCDAEBCAABDAED,ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD,1,140,140,160,120,200,760,G,F,D,B,4,H,A,C,E,B,A,B,B,B,A,B,A,B,D,B,B,E,B,E,B,B,A,48000
49000,170002080058,2017,3550308,São Paulo,35,SP,17,F,0,2,1,3550308,São Paulo,35,SP,2,0,2,1,0,35043953,3550308,São Paulo,35,SP,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550308,São Paulo,35,SP,1,1,1,1,391,396,400,403,463,387.3,446.1,507.6,CCEDADEDBABAAEBBAAEDABEEADBCCCEDEAAEDCDEACCBB,ACABDADCBDCEAADECEBDACEBDBEADDBCAEDDBCAEEDDEC,EEEDE99999CEBDCDCADECCBECDBDAEBCEDEEBCDCEBCDBCBBAC,CDBCCAECBDACBCAADCAECADEBCBCAEDCDDCABECBACEAB,0,DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE,CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC,EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC,ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD,1,80,100,80,80,80,420,D,H,A,B,6,B,C,B,B,A,A,B,A,A,A,A,A,A,B,B,A,C,B,A,B,B,A,49000
50000,170002079804,2017,2909802,Cruz das Almas,29,BA,23,F,0,3,1,2929602,Sapeaçu,29,BA,1,5,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2909802,Cruz das Almas,29,BA,1,1,1,1,392,398,401,404,431.9,511.7,540.7,487.5,DECBAADDDAAABEABAEDDDDDCDACDDEAEEABCCDEBBCDAA,EDEABCECEEDDBEEEACCEBCAEEEAAADDCBECDBAAAEDBED,99999BEECDECDBDBEDDBEEECBAECDDACBBBBEEDDEBCAEAADEA,CABCCEABCCDAADBCCCDBAACBDDBDBBCBBBCCCBABCCBDB,1,BCBBEBAAEDDCBDADEEBADECDCBCDAAEABCEEAAECDCCDA,DAEBEABDBEDACDDECADBCCCAECDEECAEBDBDBBAECDAEB,DEDCDBEEDEECABAAEDDCBDEDBAEABBBDEDBBCCDAEBCAABDAED,CCECEECDADBBDBBDBAEBDDABECBDCCDEDBBACAEADAEAC,1,120,40,40,120,40,360,A,B,A,A,1,B,A,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,50000
51000,170002082268,2017,2603454,Camaragibe,26,PE,17,F,0,1,1,2611606,Recife,26,PE,2,0,3,1,0,26152630,2611606,Recife,26,PE,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603454,Camaragibe,26,PE,1,1,1,1,392,395,399,404,642,669.6,630,615,BCBBECACEACCBCADDEBADEBBCDADAEECBBDEBCEBEADAA,CDBECADBEBBDBEDDECDEBBBEDAEDBCBB*EDDAEACCCCCC,DDEDE99999BDBEDAABCDCDDEBADEADDBBCDEADBAEABDAEDDCB,CEDCEEBAADBBDCCAA.BBDEDBCDEABCCDBEBEDAEBDBAED,0,BCBBEBAAEDDCBDADEEBADECDCBCDAAEABCEEAAECDCCDA,CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE,DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB,CCECEECDADBBDBBDBAEBDDABECBDCCDEDBBACAEADAEAC,1,180,120,160,160,140,760,H,G,D,E,2,N,D,D,C,B,A,C,C,B,A,A,A,B,C,B,A,D,B,B,B,B,D,51000
52000,170002072858,2017,2211001,Teresina,22,PI,30,M,1,1,1,2211001,Teresina,22,PI,1,11,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211001,Teresina,22,PI,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,E,E,D,C,3,I,A,B,C,A,B,B,A,B,A,B,A,A,B,A,A,C,A,C,A,A,A,52000
0,170002080967,2017,3509502,Campinas,35,SP,24,M,0,3,1,3509502,Campinas,35,SP,1,6,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3509502,Campinas,35,SP,1,1,1,1,391,395,399,403,622.6,630.4,589.4,531.8,CABBCDBABBEDBCDDBCAEEBDBADEACCDCBBEEAACDEEBCA,CCBDCADBEAAABEDBECAECDBBBAECDEEBADCADCADACCDC,DDCDE99999BDCACABBCCAEAEEAECDDEBACDEADBEDABCDCDDCB,BADCDCEEDCDBBBADCEAEBBCBDBCEBCADAAEBEBBABCDCA,0,DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE,CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE,DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB,ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD,1,100,80,80,80,100,440,D,B,C,B,4,G,A,B,D,B,A,B,A,B,A,B,A,A,B,B,A,C,B,B,B,A,A,0
1000,170002083456,2017,5002308,Brasilândia,50,MS,35,F,1,3,1,3541505,Presidente Venceslau,35,SP,1,11,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5001904,Bataguassu,50,MS,1,1,1,1,391,395,399,403,532.4,414.1,503.7,464.7,ADECEAAACEEAECBDCADCABCCAEBAEDDDDCECCEDABEBEC,BDAAAACEECBCBACEDDCCCEACDCDBEEDBCEADEBDEEDDAB,99999CDABECDDEABDEEEDDDEAADEECDBADACBCBEEAABBDADAD,CDDAACDBECDBBCDACBABAABDBEDECADCCBCDBCDCBCEBE,1,DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE,CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE,DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB,ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD,1,140,120,100,80,120,560,E,B,C,A,4,E,A,B,C,A,B,B,A,B,A,B,A,A,B,B,A,C,B,B,B,A,A,1000
2000,170002083000,2017,1302603,Manaus,13,AM,18,F,0,3,1,1302603,Manaus,13,AM,2,0,2,3,0,13075390,1302603,Manaus,13,AM,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302603,Manaus,13,AM,1,1,1,1,392,395,399,404,410.8,452.8,421,508.8,DBBCDDECAABBBBCCECCEACCDCAEBBCEDECBBCDABAAACB,BBEEAAEBCEBEEECBEEBCEBCDBCBDAEEADCACBEBBBEABC,99999DACBEBBADECDADBCBBEEBDCECBBCACEDBAEBECCAAABBE,CBCEAABCCBBACDCEBBCBECDADCBDABBBDCBDCDCADECAA,1,BCBBEBAAEDDCBDADEEBADECDCBCDAAEABCEEAAECDCCDA,CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE,DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB,CCECEECDADBBDBBDBAEBDDABECBDCCDEDBBACAEADAEAC,1,100,120,80,80,40,420,D,D,F,F,5,B,A,B,C,A,A,B,A,B,A,A,A,A,B,A,A,C,A,A,A,B,A,2000
3000,170002084100,2017,2304004,Coreaú,23,CE,20,M,0,3,1,2304004,Coreaú,23,CE,2,0,2,1,0,23015594,2304004,Coreaú,23,CE,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304004,Coreaú,23,CE,1,1,1,1,392,396,400,404,411.6,487.3,420,426.5,EDBDCCDEBECCBAEBDDDBDCDDBBEABBCDBEBCCBABDCCDC,CCECCCCBEBACCEDEDABBCABCCEDDCCDDCECDDCDCDCCEC,99999DEEACCDDCDBEECBCDDAEDCDECDDCDECCCACCCCCBBEBED,CAAABDAEDCBCEDAADDBBBCECDDEECCCAEBCCCEDBADEDE,1,BCBBEBAAEDDCBDADEEBADECDCBCDAAEABCEEAAECDCCDA,CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC,EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC,CCECEECDADBBDBBDBAEBDDABECBDCCDEDBBACAEADAEAC,1,80,40,0,40,20,180,B,D,A,A,4,B,A,B,C,A,B,B,A,A,A,A,A,A,B,A,A,C,A,A,A,B,A,3000
4000,170002090133,2017,1302603,Manaus,13,AM,19,M,0,3,1,1303106,Nova Olinda do Norte,13,AM,1,1,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1302603,Manaus,13,AM,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,D,D,F,B,6,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,4000
5000,170002076788,2017,2304400,Fortaleza,23,CE,18,F,0,2,1,2304285,Eusébio,23,CE,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,393,396,400,406,535.7,485.9,574.9,639.5,CEBDDEBABADEBBCAECBDDADDAAAEECCAABEBCBECCECAC,AEBEDABBDCAEDCCAAADABBDBEDBEDDEACBCCBACACDBEB,EDDCC99999CCEBDEECAEBABACBBBADECEADABCAAACEAAABBCD,CEAABECCBDCBDEAEDBABEDACEABDAEBAEBCCDBCDBAEDD,0,CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA,CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC,EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC,EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC,1,160,140,140,160,100,700,D,E,B,B,4,C,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,D,A,B,B,C,B,5000
6000,170002076097,2017,2800605,Barra dos Coqueiros,28,SE,19,F,0,3,1,2800308,Aracaju,28,SE,2,0,2,1,0,28020308,2800605,Barra dos Coqueiros,28,SE,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800308,Aracaju,28,SE,1,1,1,1,393,396,400,406,511.3,416.1,507.3,400.4,DDEEACAECCDBBBEAEDDDEADCDACAEDCEDDEEDDBBEDDAD,DECADBDDA.D.B.EEDDBAABBCEBACEAEAECDCEEBEDBDBB,99999EADDCEAEEDEE.DDCABDCBBEAEEEEEDCBEADECCDEEABEC,CECDAACEACCEEEAECCACDCAEEDADDCDECCDDEECDEDECD,1,CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA,CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC,EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC,EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC,1,120,120,80,120,60,500,D,C,B,B,5,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,B,A,6000
7000,170005436567,2017,2611101,Petrolina,26,PE,19,M,0,1,1,5204508,Caldas Novas,52,GO,3,0,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611101,Petrolina,26,PE,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,C,E,A,A,5,B,A,D,D,B,A,B,A,A,A,A,A,A,B,B,A,B,A,A,B,C,A,7000
8000,170002086910,2017,3549904,São José dos Campos,35,SP,16,F,0,1,1,3549904,São José dos Campos,35,SP,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3549904,São José dos Campos,35,SP,1,1,1,1,394,396,400,405,578,546.1,534,570.9,BDCEDBCACCCADADBDCBBEBADBBDEBBBCDBCCBCEADACBB,EBABEBEAEBACBADCECDADEBACDBBDBBECBADBAAEBDDEA,EDDAC99999CDDBEBDDBBBACACDBBADEDDEBDBAABCECADEDBDE,CEEADCBEBAAAECDADBECEACBAABBACEDBEBDEDCACABDB,0,EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB,CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC,EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC,BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB,1,160,120,140,140,80,640,G,E,E,D,3,N,A,D,D,C,A,B,A,B,A,B,B,B,C,B,B,D,A,B,B,C,D,8000
