,NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,df_index
27000,180008948628,2018,3518800,Guarulhos,35,SP,17,F,0,3,1,3518800,Guarulhos,35,SP,2,0,2,1,0,35285785,3518800,Guarulhos,35,SP,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3518800,Guarulhos,35,SP,1,1,1,1,447,453,458,459,406.7,523.6,386.8,508.4,ACABBCABDEAEBBEDADDDDBCADACBBEADDCCEDAEDDCECE,BEBAEDDACDDCBAAEBECAAEAEBDBEAAEBADECCEDEAEDBE,EAEAB99999EAAACAABCACDEDACEAAEAECAADAADABEAEBBADDE,BDDBBEECEDAACBEBDBADCAAAEACAAEABCDAAEEDADEACD,0,BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED,ECCBBEBEDBEDBDDAEECDECBECACDEDEECDECAABBDEBCE,BCDEBDBCBBACDCBEAECBABADBBECECBDBBEABDADACEDECABED,ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB,1,120,120,120,120,100,580,C,C,D,B,5,B,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,B,B,B,B,B,A,27000
28000,180008176789,2018,3530607,Mogi das Cruzes,35,SP,17,F,0,1,1,3530607,Mogi das Cruzes,35,SP,2,0,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3530607,Mogi das Cruzes,35,SP,1,1,1,1,448,451,455,460,535.9,569.2,540,448.8,CABAEECDEBDABEEBACCDBDECDADAEDCEAADEBBBCAEDBA,ACCEBBDACEAADAEEBEEBEBCCDCDDDAADABABDDADBBAEB,DCEBE99999CEECABBBACEDDDDEBBADAAAEAEBECCBEBDBDAABA,DCAABEDCDBADADCEDCBADCDDDEAABECBAEDBBDADEACBC,0,BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA,CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE,BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA,ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD,1,160,120,120,140,80,620,E,D,C,B,3,C,A,B,C,A,A,B,B,A,A,A,A,A,B,A,A,D,B,B,B,B,A,28000
29000,180008663508,2018,3106200,Belo Horizonte,31,MG,26,F,0,1,1,3168705,Timóteo,31,MG,1,7,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3106200,Belo Horizonte,31,MG,1,1,1,1,450,453,458,461,441.9,640.4,542.2,580.3,BBBBECAEBABBABCBDACECBCEBCABCDCBCDADCBD*EACEE,ECBAAEBEDAEBBDACABCDABAEEDCCEBEECAACEEBEBEBEE,ECEAB99999ABDADCABABCBEBBBECDEDEDAEAEEAEAEEDEBBABA,AEEABEEACBEBEADBBBEEBCBCBDACABABBABBAAAAAAABA,0,ACEDEAEAEBECAADABBDBCEDEDDCDDABCCACBCACEBDEBB,ECCBBEBEDBEDBDDAEECDECBECACDEDEECDECAABBDEBCE,BCDEBDBCBBACDCBEAECBABADBBECECBDBBEABDADACEDECABED,EBBDEECCCDACEADCBCAAEBBCBCADAEDABADDADDABDBEX,1,120,120,120,100,60,520,D,B,C,B,1,C,A,C,C,A,A,B,B,A,A,B,A,A,B,A,B,B,A,A,B,A,A,29000
30000,180008934921,2018,4317608,Santo Antônio da Patrulha,43,RS,17,F,0,1,1,4317608,Santo Antônio da Patrulha,43,RS,3,0,1,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4317608,Santo Antônio da Patrulha,43,RS,1,1,1,1,448,453,458,460,518.6,494.2,470.3,487.5,BCBEBBEBBAABECEDDBDDBEBDABEDCDAAACEEADDCAACCE,DCBCDEEBBAECBCEEEABBABCACBCACDADEDADEDADCEDAE,99999DCEECEDBBAADACAAECDAAEABABEEBBBDDDDEEBCECADBB,BACAAA*DCDABDCDBCEAECCDBEEEAABBADCDEDBECECBDB,1,BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA,ECCBBEBEDBEDBDDAEECDECBECACDEDEECDECAABBDEBCE,BCDEBDBCBBACDCBEAECBABADBBECECBDBBEABDADACEDECABED,ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD,1,140,40,40,140,60,420,E,B,C,C,4,E,A,B,D,B,A,B,B,B,A,A,A,B,B,B,B,E,A,B,B,C,A,30000
31000,180008179985,2018,1100940,Cujubim,11,RO,63,M,1,3,1,4316907,Santa Maria,43,RS,1,12,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100205,Porto Velho,11,RO,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,C,C,A,A,2,F,B,B,C,B,B,B,A,B,A,B,A,A,B,A,A,C,A,B,B,A,A,31000
32000,180008958685,2018,3204609,Santa Teresa,32,ES,17,M,0,3,1,3204609,Santa Teresa,32,ES,2,0,2,1,0,32032951,3204609,Santa Teresa,32,ES,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3204609,Santa Teresa,32,ES,1,1,1,1,449,454,457,462,477.7,582.8,607.7,655.6,BCEEDACDCDCBABDEAABADEDBBBCAACACCBBCAEAACCBED,CDBDAECAADADBEEDACBAEDADEADBEEEDADDCCBDAECDEC,99999BBDCEAAADCAAECEEABCABDEDDADCCBCEEBCADABABCAED,DEEAACEDDBEBEDECABEAABACAEBCCEEBDCCBECEADCADE,1,EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA,1,160,140,140,140,80,660,D,E,C,B,3,E,A,B,C,A,B,B,B,B,A,A,A,A,B,B,A,C,A,A,B,B,A,32000
33000,180008176708,2018,2604106,Caruaru,26,PE,17,F,0,3,1,2604106,Caruaru,26,PE,2,0,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408102,Natal,24,RN,1,1,1,1,447,451,455,459,466.9,510.7,499.3,398,EBCBEBADEEAAACCEACECCBAADEDEABDCBDEDCBBDDDDCD,EBEEBBAABABABEEBDEDCAACCAEDDECCABCDEADCBECDAC,99999DBADACDAEBBACACDBDDEDBAEBACDCDAAEDACBAEBBCBBA,DBDDCCDCEDECEECDBBAAEEEEBAEDBEABDECBABCBCBBAD,1,BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED,CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE,BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA,ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB,1,140,120,120,120,160,660,D,B,C,B,4,D,A,B,D,A,B,B,B,B,B,A,A,A,B,A,A,C,A,A,B,B,A,33000
34000,180008136164,2018,3550308,São Paulo,35,SP,21,F,0,2,1,3548708,São Bernardo do Campo,35,SP,1,1,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3550308,São Paulo,35,SP,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,C,C,B,3,C,A,B,B,A,A,B,A,B,A,B,B,A,B,A,B,C,A,A,B,A,A,34000
35000,180008938633,2018,1504422,Marituba,15,PA,18,F,0,2,1,1504422,Marituba,15,PA,2,0,2,1,0,15034488,1504422,Marituba,15,PA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504422,Marituba,15,PA,1,1,1,1,449,454,457,462,461.9,610.4,587.9,493.6,AEBCDACDCEBAAABEACCBBCECBDAADEADECAABEDCEABDE,BDCCCABBBECADEEDAABDEAAECEECEBCCECEDEDBADEAAE,99999BDDCBABACEBBEBBECAACDDBAEDACABCDBBBADADABCEAD,DCDDEAEBCAEADCDBACAAECABDDBEBCBEBCBDAEACBDEAE,1,EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA,1,120,120,100,120,100,560,D,B,C,B,4,C,A,B,C,A,A,B,A,A,A,A,A,A,C,A,A,E,B,B,B,B,A,35000
36000,180009152505,2018,3529401,Mauá,35,SP,17,M,0,1,1,3529401,Mauá,35,SP,2,0,2,1,0,35007560,3529401,Mauá,35,SP,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3529401,Mauá,35,SP,1,1,1,1,447,454,457,459,436.4,607.4,567.5,659.2,CBBBCDCAECAEADEBAEBBCDACCEEEBAADADACDBEECBABE,AEDCBDBAADECEDEDECABEDEBEEEDCAAADEEDDADDCBCAE,CBDCB99999ECDCBABBCDEBBDDDAADEADBCBCECBEBDABCEEECB,EBBDBBBEBAACCAEBBDCEEDDADDEBCDABBDCBEECAEDCBC,0,BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB,1,120,40,40,80,40,320,E,E,E,B,3,G,A,B,C,B,A,B,B,B,B,B,A,A,C,A,A,D,B,B,B,B,A,36000
37000,180008706656,2018,2111300,São Luís,21,MA,22,F,0,3,1,2108306,Penalva,21,MA,1,4,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110203,Santa Rita,21,MA,1,1,1,1,448,451,455,460,419.4,488.6,404.9,418.9,AEDEEBABEECBCEDACDAEBDECDBADEBBECADCABDACEDDB,ECCBBDAECDBABEEADBCDEEADCCBCDECBBCEDAEEDCCCEA,99999EAEEDDDECBCACBBACAACEDBBCDCAEADACABEBAAABDCAB,ABEABDDCDCBADABBADCCEBCDACAEAACBABDBBCDCDACBA,1,BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA,CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE,BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA,ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD,1,100,40,40,80,40,300,D,E,A,A,6,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,D,A,A,A,A,A,37000
38000,180008149762,2018,5214606,Niquelândia,52,GO,18,F,0,4,1,5214606,Niquelândia,52,GO,2,0,2,1,0,52008681,5214606,Niquelândia,52,GO,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5214606,Niquelândia,52,GO,1,1,1,1,448,454,457,460,521.9,646,582.2,647.4,BAEDEEECCCABBACBEDDDCCABDEADBCCBCADBACBADAAEC,CEDCAABAACEAEAEDDEABBDABEEECCECECDECCBBDBADCD,DDBAB99999ACACEDBECBEBACDBDADAADDCBCECBBACEDECCAEE,ABBEAECCCDADDEBBEBDCEADEACABDCCEDABDADBBCAABD,0,BCACEEBBBDACEDECAADDDABDBCCACDCBCEDEDABEBEAEA,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ADAEDABBCAADBEXEBBDEEADCCCCDACEDDABCBCAAEBBDD,1,120,120,120,160,120,640,E,F,C,F,5,C,A,C,D,B,A,B,A,B,A,B,A,A,B,B,A,D,A,B,B,B,C,38000
39000,180008183436,2018,2303709,Caucaia,23,CE,18,F,0,3,1,2304400,Fortaleza,23,CE,2,0,4,1,0,23078251,2304400,Fortaleza,23,CE,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304400,Fortaleza,23,CE,1,1,1,1,450,451,455,461,493,605.5,565.8,622.7,DCEABABECACBDCBDBEDBCACEBDADBADDECACBDBCBDACE,DCCBDBDAEDBEDEECEEECDABBCBDADAEACDAACACDDBBCA,99999DBEADADECBBDBABDCDBCEBEACDCACEDAECCBBBCDAAAAA,DBBDEECCAADCABBBDBACCABBEBDADADADADEADBECADBC,1,ACEDEAEAEBECAADABBDBCEDEDDCDDABCCACBCACEBDEBB,CACDDBDDECCEDEEEBCEAEECBBEBEDBEDECBEBDCAABCDE,BBDECBBCDBCECBABDBEDACDDBBBEADECACEDBEBABCBEAECADA,EBBDEECCCDACEADCBCAAEBBCBCADAEDABADDADDABDBEX,1,160,180,180,160,200,880,E,F,B,B,4,I,A,C,D,B,A,B,B,B,A,B,A,A,B,B,B,C,A,A,B,B,D,39000
40000,180009200424,2018,3304557,Rio de Janeiro,33,RJ,18,F,0,2,1,3304557,Rio de Janeiro,33,RJ,2,0,4,1,0,33134634,3304557,Rio de Janeiro,33,RJ,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3304557,Rio de Janeiro,33,RJ,1,1,1,1,447,452,456,459,550,629,590.6,546.6,CECDBBADEEBABDEDCDCDBCAACCBBACBCCBDEEBCEEABCD,BEDCAECADBEBDBDEDCEDCDAEBDCCECBAABEAAECDDEECB,BBEDC99999BBAEDDCAEBDABADABECEAADDBCDCBAECDECBCDEB,CDDBAECCBBECACDCABCEDCDACDBABBAAABCECDCBBDDEB,0,BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED,AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC,BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB,ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB,1,140,180,160,160,120,760,E,E,B,B,3,D,A,B,D,B,A,B,B,B,A,B,A,B,B,B,B,D,B,B,B,B,D,40000
41000,180008459857,2018,2921708,Morro do Chapéu,29,BA,19,F,0,3,1,2921708,Morro do Chapéu,29,BA,2,0,2,1,0,29390869,2921708,Morro do Chapéu,29,BA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2921708,Morro do Chapéu,29,BA,1,1,1,1,450,454,457,461,461,405.2,446.3,497.5,AABEACECAEEEDACCBADDBCCCDDACBDEABCEDCCDDAACBA,CADBBBDAEACCACDECACCCEACACBEAECAABDCECCCAEDBB,99999BDDCAEBDDDABEDBCBADCACEEBDAEECCBBCAAEDBACDABC,BEEEAEEDBACECAABCCBCEABCBDCEAAEBAADCDBADBBCBD,1,ACEDEAEAEBECAADABBDBCEDEDDCDDABCCACBCACEBDEBB,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,EBBDEECCCDACEADCBCAAEBBCBCADAEDABADDADDABDBEX,1,100,40,40,100,40,320,A,E,C,B,4,C,A,B,E,A,B,B,A,A,A,B,A,A,B,A,A,C,A,B,B,B,A,41000
42000,180008476799,2018,4314407,Pelotas,43,RS,18,F,0,1,1,4314407,Pelotas,43,RS,1,1,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4314407,Pelotas,43,RS,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,C,D,B,B,3,B,A,B,C,B,A,B,A,B,A,A,A,A,B,A,B,C,A,B,B,A,A,42000
43000,180008109549,2018,2408102,Natal,24,RN,28,F,0,2,1,2408102,Natal,24,RN,1,9,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2408102,Natal,24,RN,1,1,1,1,449,454,457,462,473.1,524.4,575.7,452.4,BEBEDBCBACEBCDEABDCCCDDCCEDBCBDADEEADCCBACBCD,AAECADBEBBEEBBCBAECBBEBDBACABDBCBEAABBDABDDEB,CCDAD99999ECADBBBACBECECBBBAAACDBCBCDEABAAEBBBCAED,DBADACACBCBCBBCCADBDACDBDDABAACBDBCDCCAACBDDB,0,EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA,1,140,40,40,140,40,400,B,A,C,B,5,C,A,C,C,A,A,B,A,A,A,A,A,A,C,A,A,E,A,A,A,A,A,43000
44000,180008166943,2018,3136702,Juiz de Fora,31,MG,21,F,0,3,1,3105608,Barbacena,31,MG,1,3,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3136702,Juiz de Fora,31,MG,1,1,1,1,447,452,456,459,499.1,651.5,574.7,615.1,ACAEDAABDEADCEBBEEDBCCADBDDECBECAABECDBCADACB,ABECAACBDBDEACDABEECBDAABEEAEECAABEAAEDBBBCEB,BBBEA99999EBEADCCAAEDBCABCCACCCBAABBDEABDCCDCDDDCC,ACCDDDAAEADDEAEBCABEEDCABDDCAEADDCCAEBDBDDEAB,0,BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED,AEECDECBEBDCACDEDEEDBDDEBCECDECAABEDBEBBEBECC,BBEDCCBBDBBBEADECACEDBEADABEDBABAECCBEABDDBACDCECB,ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB,1,120,120,120,120,140,620,B,B,B,A,1,C,A,B,C,A,A,B,A,A,A,B,A,A,A,A,A,B,A,B,B,A,A,44000
45000,180008152010,2018,2910404,Encruzilhada,29,BA,21,F,0,3,1,2933307,Vitória da Conquista,29,BA,1,5,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2933307,Vitória da Conquista,29,BA,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,B,A,A,6,A,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,45000
46000,180008460009,2018,2932002,Uauá,29,BA,24,F,0,3,1,2932002,Uauá,29,BA,1,8,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2932002,Uauá,29,BA,1,1,1,1,449,454,457,462,373.1,524.4,451.9,422.7,EEBDAABCEBCCDBDDCEDCCBDDACDCABBCCDDBBDACDDBEA,AEDAEABEADCEBEECDECDCAADADCBEECACBBAECDAAEDAB,99999BDAEDCABCEACABBEABEDBAEDEACACCDEBBBBBDBEADACE,BCBECCABDAEBAADDBECDCCDBDBEBDEBCADACDDBCEBCBD,1,EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA,1,120,80,80,100,40,420,B,B,A,A,2,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B,A,A,46000
47000,180008447238,2018,3205309,Vitória,32,ES,20,M,0,1,1,3205309,Vitória,32,ES,1,2,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3205309,Vitória,32,ES,1,1,1,1,449,454,457,462,463.7,526.5,506.5,461.5,ACDEBBEACBCBBEDADCDECDBCCDABCDACEDEBEADBEDBEE,CDDBBCBADAAEEDABABCDEECAECEACDAAECBEBBABEBCAE,DCCAE99999EAACBEBBCCCBBADBCADCADAEAAEEDAAEBBABDECD,ABCDECCACDBDCCADABBAEDAEBEECBACCDECBADBEBDACE,0,EBBEBACEDDEDDCBCCACBDDDAECAADBCEABEAEABDBCACE,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ADCACEDDABEBBCBCADDACCCDEBBDAEEDBEXBCAEDABADA,1,100,120,80,100,0,400,D,D,D,B,2,D,A,B,D,B,A,B,A,B,A,B,A,A,C,B,B,C,A,B,B,A,A,47000
48000,180008447261,2018,2112209,Timon,21,MA,48,M,1,3,1,2211001,Teresina,22,PI,1,12,1,3,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112209,Timon,21,MA,1,1,1,1,447,454,457,459,517.3,615.5,511.1,389.6,EBCECBEDBEDEE*EEBEBEAEAECCDEAEABDEABEBCDBBCAC,EDECAEBAEAECBDBDAEADBEEDEEDDEEAEADEDABDECAE*E,99999BBDACEAADEADCBEEAEADEACCEBABDCDCDEBAEBEABCEAD,AECADEAEEAEAADAECCBAEBEDDEABEAECDBADAEAEDBCEA,1,BDDEDBCACEBCCACDCDDAECAADBDBCEEAEAABEBEBBACED,CDECAABBDDECBEEDBEBBEBEDEEEBCEAEECECCDBDDCACD,CBEDBBBDCBECADBBBECBEAECABDADACDBABCECBBEDADABECED,ACEADCEBBDADAAEBBDDEDABADBEXCCCDBCAEEACBCDDAB,1,120,80,100,120,40,460,B,B,B,A,5,C,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,C,A,B,B,A,A,48000
